date,CDOM,Chl_a,Color,Cya,DOC,Turb,WQI,WQI_2
11-12-2020,19.62933492437251,3.570938282667876,152.49828166327063,87.53068344492539,34.40824336762104,2.1271021903372866,0.5406849763879318,71.33337481794428
12-12-2020,19.5585859994616,3.600971118726891,151.63867235652248,86.54375189633919,34.313926801910156,2.146308175453818,0.5428582111658867,71.35081603197253
13-12-2020,19.487837074550686,3.631003954785905,150.7790630497743,85.55682034775297,34.219610236199266,2.16551416057035,0.5450314459438418,71.36825724600077
14-12-2020,19.417088149639774,3.66103679084492,149.9194537430261,84.56988879916676,34.12529367048838,2.184720145686881,0.5472046807217968,71.385698460029
15-12-2020,19.34633922472886,3.6910696269039347,149.05984443627796,83.58295725058056,34.03097710477749,2.203926130803413,0.5493779154997518,71.40313967405724
16-12-2020,19.27559029981795,3.7211024629629494,148.20023512952977,82.59602570199435,33.9366605390666,2.2231321159199444,0.5515511502777068,71.42058088808548
17-12-2020,19.204841374907037,3.751135299021964,147.3406258227816,81.60909415340814,33.84234397335572,2.2423381010364762,0.5537243850556619,71.43802210211373
18-12-2020,19.134092449996125,3.7811681350809785,146.4810165160334,80.62216260482194,33.74802740764483,2.2615440861530076,0.555897619833617,71.45546331614197
19-12-2020,19.063343525085212,3.8112009711399932,145.62140720928525,79.63523105623572,33.65371084193394,2.280750071269539,0.5580708546115719,71.47290453017021
20-12-2020,18.9925946001743,3.841233807199008,144.76179790253707,78.64829950764951,33.55939427622305,2.299956056386071,0.560244089389527,71.49034574419845
21-12-2020,18.921845675263388,3.8712666432580223,143.90218859578889,77.66136795906331,33.46507771051217,2.3191620415026026,0.562417324167482,71.50778695822669
22-12-2020,18.851096750352475,3.9012994793170375,143.0425792890407,76.67443641047711,33.37076114480128,2.338368026619134,0.5645905589454371,71.52522817225494
23-12-2020,18.780347825441563,3.9313323153760518,142.18296998229255,75.68750486189089,33.276444579090395,2.3575740117356654,0.566763793723392,71.54266938628318
24-12-2020,18.70959890053065,3.9613651514350665,141.32336067554436,74.70057331330469,33.182128013379504,2.376779996852197,0.5689370285013471,71.56011060031142
25-12-2020,18.845529235781253,4.705754907776408,143.01712066094748,132.5075380269871,33.36142167630414,2.545088136639585,0.5519222611959731,70.94022217383437
26-12-2020,18.981459571031856,5.450144664117748,144.71088064635057,190.31450274066952,33.540715339228775,2.713396276426973,0.5349074938905991,70.32033374735731
27-12-2020,19.117389906282458,6.194534420459089,146.4046406317537,248.12146745435194,33.72000900215341,2.881704416214361,0.5178927265852251,69.70044532088026
28-12-2020,19.253320241533057,6.93892417680043,148.0984006171568,305.92843216803436,33.89930266507805,3.0500125560017484,0.5008779592798511,69.0805568944032
29-12-2020,19.38925057678366,7.683313933141772,149.79216060255993,363.7353968817168,34.07859632800269,3.2183206957891364,0.48386319197447714,68.46066846792615
